,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,sine,white noise
0,262.37371798818918,6983.3423783663029,674738.26828144642,11533.122328312171,595032.93609037367,33036.335145842109,433825.63688796072,14454.181417809596,142898.48492046614,6496.9827498164714,240680.58137358405,939.92385091125107,799422.94308635546,610175.63412366807,524863.78463246638,2482914.8831710406,168548.33102848002,23672.277486636336,364789.50721936731,13007.980348059935,14826.56577355095,2109400.6211324199,78625.199859052824,231389.84749256514,547530.35943264083,0.133873823670563,62385.182538635854,229672.58658005661,3833361.9105861066,1888242.2151840969,2841691.2021071138,5745420.6755295899,8174704.7056398029,1014400.7229664128,1.8399447170853471e-23,144030.33241251635
1.5,16341.919231569227,5626481.848602579,36614407.266933613,773178.29053171352,2538702.3377784449,6647489.5742871109,45763144.920616969,30232.882095474295,15154432.493569974,19703664.925876357,5420427.6695206407,62853.084338700326,18732126.229396366,361703.00666762935,20800828.665997196,78928.059352414421,1029382.2469108871,27446585.797805808,2571283.6785395681,11209161.679839155,1039316.5533873277,1330774.4421703196,2379961.1885447926,4273629.4725780729,302371.63312476431,1918878.9109212058,212986.99713847216,273220.45397732646,31058501.018096298,3607291.2465914506,1289219.4061495673,39224199.566865802,19570134.387782279,17303661.24782043,0.38138565100016897,985195.95140529866
3,10866.022473792968,5342764.5550239505,8114952.6171678184,63117.376400001514,1044883.2506254431,8392490.4251618795,21538945.8380666,195378.52357179622,26587996.39566284,468885.06174769264,5050437.8706381014,79796.661483416683,14534906.348246997,281349.80880917475,24886172.772959411,911769.44078215514,4027276.613999398,123230179.02111363,6356483.1000466198,15180338.818604937,7729782.0370465089,1218021.0584225818,238071.54779352242,1122224.2391598292,3948323.7201835043,1071154.6061128604,553543.12724421185,7714.4496002495844,6174739.0008669198,3041031.603203333,24824430.779313754,80756056.889245644,113242690.63706419,410299378.15495366,1.5292138132976005,678833.09672410297
4.5,6549.1737349771402,2842528.6377396956,15803247.886462394,1940067.594619469,1199409.0427051894,483511.92490771902,15767133.672569457,51316.585731069601,1131653.5087288746,1395361.544249231,1613596.1447745319,68438.424901448554,4097240.6108599938,863233.46398389793,85462701.13451761,2978017.7746139127,716035.46021484898,55482451.016478866,6221125.5537722912,18705287.302026894,166995587.00043851,240345.85515590178,13674423.048475539,5912994.9032027461,3459085.4639954427,9284398.5359394047,310440.69515590474,2045086.0336769428,173904489.13976607,3627291.4280235968,12649139.22742389,235845797.51712322,30825057.964118876,15091791.101395,3.4545644448979336,649.42311010819276
6,5319.1032628187631,8854002.087840531,5552478.7162610544,1767016.0845205756,1364258.3523871873,7002765.1224018876,10889035.918510053,360874.9067310305,409139.31701496983,2618304.4107602946,4193776.6753282766,89635.682677342105,8965212.7826140132,16772393.662611602,3177057.3257993162,6263958.9775465233,684889.33533009526,10498417.301085925,3394426.2771526254,9893056.1133504082,9449359.7738774195,1694989.4168042722,82637775.599795371,5932048.5646652365,7446161.5952655189,3375125.718176099,86258.907894955832,941411.39458305598,157682001.36577535,4646412.8190195682,115193440.16498679,35340250.270199038,26962159.56601321,6571993.6127859578,6.1761272367152351,1397993.199905067
7.5,5189.5323505778788,1400166.9114240084,58034742.331536643,19900009.315046504,2010523.2001584074,486687.00667677628,1910538.5939380757,80906.612050265932,3908797.782981317,14221317.926400913,7654833.4867428159,96184.578138184253,2615212.779165504,121710259.34964579,332536.83770104317,160859.85581541187,600389.41808748106,16181042.457027659,3093552.8402322065,2908286.341186943,13635862.103245035,719601.87146333733,65459360.052845433,71184972.79407531,26134329.067160193,412713.03589822166,526497.54964184191,863120.57775052858,19757805.29625931,6409391.7100973595,4373564.7904418092,5743844.4804436406,9053599.0381397214,14776245.693157373,9.7205433238342547,161843.57299864406
9,17789.781151595227,2470801.7793902787,22461191.468989797,54080679.081763916,2669044.3300394062,5413855.6499097031,2172988.9287065142,18675771.956996348,1807014.3356472841,1996273.0705199204,6300907.248043376,85391.811893098464,19686088.674105451,11976510.595715424,9014235.941709023,179596255.88868222,3995916.5073822276,33510406.476824835,6069108.4402900226,10014704.891304767,18109158.328066755,3470479.2432208536,14184577.540972207,98577938.223847061,48609373.17408894,15935508.036087001,1026581.3672628065,525038.88717062329,52300598.854594655,52704211.449530914,31820809.352256279,11585548.624869518,72760120.187478259,16752122.410425927,14.122898152831638,59001.230273934954
10.5,12835.545487298448,1009003.3411588413,25248608.113831181,9148256.6064055618,4459690.3635240262,4794023.9133254308,44848.67451327241,51350.971776822975,11961438.193406669,5683098.0367138563,1380840.5560898364,60294.502017532548,8589466.1284390278,4252752.2688825568,380958.46630352543,182391222.08048698,345208.78560492088,2558337.3442285187,7768135.2771458989,2402188.8370968187,2317796.2172375652,17016759.711777542,25513567.924996622,24427151.675749339,70284620.852463067,57882002.173602596,3509248.5312005566,2869848.4999111546,28491076.353284564,39755407.255657569,59457904.617364138,133191307.41236149,14828769.633709263,21504378.919825036,19.427380773967396,443272.81700684031
12,6240.277590533291,1254109.1379422885,18128311.276302464,1375478.9594553909,7948631.8954601968,88079.424339978097,1209336.4417567572,2486.9930529289336,2569334.4257087093,2620188.4997940743,816779.08018201613,86786.039036466449,2612195.4720440158,1299346.8442848385,2197563.6775967195,8634658.7878101394,16720041.307516422,6527585.4342700625,5681305.0083791185,3136744.3742449745,27600557.520224482,45542372.2889283,7595369.2016266622,67510476.753551766,23435121.272231467,83360644.19810921,509012.07326663751,2663126.8566330979,25231731.744746208,93058425.519625708,23668551.236644387,14456732.969957048,68767432.790819749,1554311.478242144,25.688130386449263,818758.02260318189
13.5,12678.768188445294,581676.60567617731,7299953.8482163679,861255.78859242657,5385186.7458963552,3983270.3094171649,3169411.4566993751,37886.765112687761,466846.2848623941,1930566.0886003571,3071372.5043011406,96301.093600981447,389478.58196506771,16303661.1297023,321080.35352946405,22218580.338055409,18690983.371833686,4316298.3397180578,2699666.0242267633,2934721.9354606285,13366156.150006112,95320780.59601976,483566.61376369395,23057900.672657304,24410344.658301715,47359057.465209663,347795.18231878977,3095974.5347292968,7848421.9571032058,148593297.77095029,2575121.366520382,17308657.835276466,85706814.181864396,1878558.3998817534,32.970297529030489,415997.13035941881
