,s,p,e,c,t,r,a,l, ,d,i,s,t,r,i,b,u,t,i,o,n
0,19,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,
4,14,,,,,,,,,,,,,,,,,,,,
5,11,,,,,,,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,,,,,,,,
12,7,,,,,,,,,,,,,,,,,,,,
13,3,,,,,,,,,,,,,,,,,,,,
14,3,,,,,,,,,,,,,,,,,,,,
15,2,,,,,,,,,,,,,,,,,,,,
16,6,,,,,,,,,,,,,,,,,,,,
17,4,,,,,,,,,,,,,,,,,,,,
18,12,,,,,,,,,,,,,,,,,,,,
19,14,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,,,,,,,,,,,,,,
21,4,,,,,,,,,,,,,,,,,,,,
22,7,,,,,,,,,,,,,,,,,,,,
23,7,,,,,,,,,,,,,,,,,,,,
24,8,,,,,,,,,,,,,,,,,,,,
25,8,,,,,,,,,,,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,
28,4,,,,,,,,,,,,,,,,,,,,
29,4,,,,,,,,,,,,,,,,,,,,
30,7,,,,,,,,,,,,,,,,,,,,
31,4,,,,,,,,,,,,,,,,,,,,
32,6,,,,,,,,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,,,,,,,,
35,9,,,,,,,,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,,,,,,,,
37,3,,,,,,,,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,,,,,,,,
39,4,,,,,,,,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,,,,,,,,
41,7,,,,,,,,,,,,,,,,,,,,
42,12,,,,,,,,,,,,,,,,,,,,
43,8,,,,,,,,,,,,,,,,,,,,
44,10,,,,,,,,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,,,,,,,,
46,11,,,,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,,,,
49,3,,,,,,,,,,,,,,,,,,,,
50,4,,,,,,,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,,,,,,,,
53,3,,,,,,,,,,,,,,,,,,,,
54,3,,,,,,,,,,,,,,,,,,,,
